,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
267,1,2016,Basic Science,IMMUNOLOGY,Tumour Immunology,cancer immunology,cancer immunotherapy,cytokines,breast cancer,cell death,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
268,1,2016,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Radiation Therapy,radiotherapy,lung cancer,immunotherapy,biomarkers,clinical trial,111208.0,11.0,MEDICAL AND HEALTH SCIENCES
269,1,2016,Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Clinical Pharmacology and Therapeutics,suicide,alcohol,medications,clinical pharmacology,alcohol and behaviour,111502.0,11.0,MEDICAL AND HEALTH SCIENCES
270,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,knee osteoarthritis,back pain,magnetic resonance imaging (MRI),clinical trial,synovitis,110322.0,11.0,MEDICAL AND HEALTH SCIENCES
271,1,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),transcriptional regulation,structural biology,molecular modelling,electron microscopy,cancer,60112.0,6.0,BIOLOGICAL SCIENCES
272,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,translational research,evidence-based clinical practice,shared clinical decision making,primary care,cardiovascular disease prevention,111717.0,11.0,MEDICAL AND HEALTH SCIENCES
273,1,2016,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,spinal cord injury,spinal cord injury management,respiratory muscles,respiratory infection,respiratory mechanics,90304.0,9.0,ENGINEERING
274,1,2016,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,infant,premature birth,respiratory syncytial virus,surfactant,vaccination,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
275,1,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Systems Biology,gene regulation,cancer,microrna,systems biology,bioinformatics,60114.0,6.0,BIOLOGICAL SCIENCES
276,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,maternal and child health,pregnancy,obesity,sleep disturbance,glucose intolerance,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
277,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,multiple sclerosis (MS),tremor,cognitive assessment,electrophysiology,botulinum toxin,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
278,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Mental Health,posttraumatic stress disorder (PTSD),physical activity,exercise,depression,metabolic syndrome,111714.0,11.0,MEDICAL AND HEALTH SCIENCES
279,1,2016,Basic Science,NANOTECHNOLOGY,Nanomedicine,drug delivery systems,nanotechnology,rational drug design,chemotherapy,breast cancer,100709.0,10.0,TECHNOLOGY
280,1,2016,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,indigenous health,hepatitis B virus,hepatocellular carcinoma,health literacy,liver cirrhosis,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
281,1,2016,Basic Science,IMMUNOLOGY,Cellular Immunology,human immunodeficiency virus (HIV),T cell immunity,mucosal immunology,gastrointestinal,innate immunity,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
282,1,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,genomics,bacterial genetics,bacterial infection,antibiotic resistance,public health,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
283,1,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Bioinformatics,alternative splicing,gene regulation,data analysis,data mining,systems biology,60102.0,6.0,BIOLOGICAL SCIENCES
284,1,2016,Basic Science,IMMUNOLOGY,Immunogenetics (incl. Genetic Immunology),DNA structure,transcription factor,acute lymphoblastic leukaemia (ALL),B cells,epigenetics,110706.0,11.0,MEDICAL AND HEALTH SCIENCES
285,1,2016,Basic Science,MEDICAL BIOCHEMISTRY AND METABOLOMICS,Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics),allergy,recombinant proteins,mouse models,epitope mapping,paediatric,110106.0,11.0,MEDICAL AND HEALTH SCIENCES
286,1,2016,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,optical imaging,cancer detection,fluorescence spectroscopy,brain imaging,surgery,90304.0,9.0,ENGINEERING
287,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,type 1 diabetes mellitus (insulin-dependent diabetes mellitus),nutrition,insulin,dietary fat,dietary protein,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
288,1,2016,Basic Science,MEDICAL BIOTECHNOLOGY,Medical Biotechnology not elsewhere classified,vaccine development,nanotechnology,adjuvant,immunology,biomedical engineering,100499.0,10.0,TECHNOLOGY
289,1,2016,Public Health,NUTRITION AND DIETICS,Nutrition and Dietetics not elsewhere classified,obesity,childhood,dietary intake,nutrition,epidemiology,111199.0,11.0,MEDICAL AND HEALTH SCIENCES
290,1,2016,Basic Science,IMMUNOLOGY,Autoimmunity,death signalling,caspases,interferon (IFN),inflammation,lupus,110703.0,11.0,MEDICAL AND HEALTH SCIENCES
291,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Intensive Care,temperature regulation,fever,intensive care medicine,traumatic brain injury (TBI),sepsis,110310.0,11.0,MEDICAL AND HEALTH SCIENCES
292,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,sepsis,emergency medicine,infectious diseases,outcomes research,clinical trial,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
293,1,2016,Basic Science,IMMUNOLOGY,Tumour Immunology,immunotherapy,combination therapy,cancer,neutrophils,immune suppression,110709.0,11.0,MEDICAL AND HEALTH SCIENCES
294,1,2016,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,cardiovascular disease prevention,health systems,hypertension,decision support,cholesterol,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
295,1,2016,Basic Science,NEUROSCIENCES,Central Nervous System,stroke rehabilitation,stroke,connectivity,electroencephalogram (EEG),transcranial magnetic stimulation (TMS),110903.0,11.0,MEDICAL AND HEALTH SCIENCES
296,1,2016,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),insulin secretion,cell signalling,Drosophila,nutrition,metabolism,60403.0,6.0,BIOLOGICAL SCIENCES
297,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,concussion,dementia,mental health,cognition,neuroimaging,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
298,1,2016,Public Health,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,fetal alcohol syndrome,Aboriginal child,prevention,intervention study,public health,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
299,1,2016,Basic Science,NUTRITION AND DIETICS,Nutritional Physiology,nutrition,carbohydrates,ageing,longevity,metabolism,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
300,1,2016,Basic Science,NANOTECHNOLOGY,Nanomedicine,skin cancer,drug delivery systems,skin permeability,nanotechnology,epidermal barrier,100709.0,10.0,TECHNOLOGY
301,1,2016,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,allergic asthma,epigenetics,T cell response,gene silencing,mouse models,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
302,1,2016,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Foetal Development and Medicine,nutrition supplementation,fetal growth restriction,pregnancy complications,placental insufficiency,pregnancy outcome,111401.0,11.0,MEDICAL AND HEALTH SCIENCES
303,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,physical activity,sedentary behaviour,child health,health behaviours,family-centred intervention,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
304,1,2016,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,hearing loss,hearing impairment,outcomes research,cytomegalovirus (CMV) infection,prevention,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
305,1,2016,Basic Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),antipsychotic drugs,adolescence,brain development,animal model,long term,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
306,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,sexually-transmitted infections (STI),human immunodeficiency virus (HIV),drugs of dependence,Aboriginal health,randomised controlled trial (RCT),111701.0,11.0,MEDICAL AND HEALTH SCIENCES
307,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,human immunodeficiency virus (HIV),incidence,prevention,intervention study,evaluation,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
308,1,2016,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,diabetic nephropathy,reactive oxygen species (ROS),nicotinamide adenine dinucleotide phosphate (NADPH) oxidase,oxidative stress,fibrosis,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
309,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,renal dialysis,kidney disease,renal failure,renal progression,patient outcomes,110312.0,11.0,MEDICAL AND HEALTH SCIENCES
310,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,cardiovascular health,mental health,population health,epidemiology,child health,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
311,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Podiatry,diabetes mellitus,education,wound healing,gait disorders,paediatric,110318.0,11.0,MEDICAL AND HEALTH SCIENCES
312,1,2016,Basic Science,GENETICS,Developmental Genetics (incl. Sex Determination),reproductive disorders,reproductive biology,sex reversal,sex determination,sexual differentiation,60403.0,6.0,BIOLOGICAL SCIENCES
313,1,2016,Basic Science,GENETICS,Gene Expression (incl. Microarray and other genome-wide approaches),bioinformatics,drug discovery,parasitology,computers,biostatistics,60405.0,6.0,BIOLOGICAL SCIENCES
314,1,2016,Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",attention deficit hyperactivity disorder (ADHD),attention,attention deficit hyperactivity disorder (ADHD) subtypes,attention deficits,brain development,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
315,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,electrophysiology,cognitive function,chronic pain,neurocognitive assessment,central nervous system (CNS),110903.0,11.0,MEDICAL AND HEALTH SCIENCES
316,1,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,cytomegalovirus (CMV),placenta,congenital disease,gene expression,antiviral,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
317,1,2016,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,diabetic retinopathy,vascular endothelial growth factor (VEGF),inflammation,cytokine assays,monoclonal antibody,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
318,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,mental health promotion,child care centres,work-related,child development,women's health,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
319,1,2016,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,food allergy,diagnosis,molecular diagnosis,immunoglobulin E (IgE),immune regulation,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
320,1,2016,Basic Science,NUTRITION AND DIETICS,Dietetics and Nutrigenomics,nutrition,colorectal cancer risk,genetics,epigenetics,microbiology,111102.0,11.0,MEDICAL AND HEALTH SCIENCES
321,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Neurosciences not elsewhere classified,balance disorders,cerebellar disorders,vestibular disease,somatosensory disorders,ataxia,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
322,1,2016,Basic Science,IMMUNOLOGY,Humoural Immunology and Immunochemistry,humoral immunology,virology,molecular immunology,infectious diseases,sequence analysis,110705.0,11.0,MEDICAL AND HEALTH SCIENCES
323,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,hepatic cirrhosis,statistics,health economics,epidemiology,antiviral agents,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
324,1,2016,Public Health,NUTRITION AND DIETICS,Public Nutrition Intervention,food,diet,public health,monitoring,evaluation,111104.0,11.0,MEDICAL AND HEALTH SCIENCES
325,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Intensive Care,fluid and electrolyte balance,lung injury,intensive care,shock,animal model,110310.0,11.0,MEDICAL AND HEALTH SCIENCES
326,1,2016,Clinical Medicine and Science,PSYCHOLOGY,Industrial and Organisational Psychology,anaesthesia,decision support,emergency medicine,design,psychology,170107.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
327,1,2016,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Diagnosis,lung cancer,cancer staging,diagnostic imaging,positron emission tomography (PET),ultrasound,111202.0,11.0,MEDICAL AND HEALTH SCIENCES
328,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,epidemiology,cohort study,adolescent health,Aboriginal health,women's health,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
329,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Podiatry,osteoarthritis,biomechanics,medical imaging,disease progression,musculoskeletal disorders,110318.0,11.0,MEDICAL AND HEALTH SCIENCES
330,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Preventive Medicine,adolescent health,prevention,internet,school-based intervention,chronic diseases,111716.0,11.0,MEDICAL AND HEALTH SCIENCES
331,1,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,parasitology,drug resistance,Plasmodium falciparum,transporters,evolution,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
332,1,2016,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,T cell activation,signalling pathways,proteomics,mathematical modelling,combination therapy,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
333,1,2016,Clinical Medicine and Science,HUMAN MOVEMENT AND SPORTS SCIENCE,Human Movement and Sports Science not elsewhere classified,physiotherapy,rehabilitation,knee reconstruction,function,biomechanics,110699.0,11.0,MEDICAL AND HEALTH SCIENCES
334,1,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,melanoma,survival analysis,susceptibility genes,genetic epidemiology,gene expression,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
335,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,tuberculosis,primary care,epidemiology,poverty,developing countries,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
336,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,myopathy,muscle contraction,genetic disorders,actin,physiology,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
337,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Public Health and Health Services not elsewhere classified,human immunodeficiency virus (HIV),epidemiological research methods,implementation,social and behavioural research,women's health,111799.0,11.0,MEDICAL AND HEALTH SCIENCES
338,1,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,motor neuron disease (MND),functional magnetic resonance imaging (fMRI),magnetic resonance imaging (MRI),cognitive assessment,frontotemporal dementia,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
339,1,2016,Basic Science,IMMUNOLOGY,Innate Immunity,innate immunity,circadian rhythms,metabolism,epigenetics,inflammatory diseases,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
340,1,2016,Basic Science,NEUROSCIENCES,Neurosciences not elsewhere classified,behaviour,neuropharmacology,dopamine receptors,striatum,learning,110999.0,11.0,MEDICAL AND HEALTH SCIENCES
341,1,2016,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),arrhythmia,sudden death,genetics,clinical patient management,cardiology,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
342,1,2016,Basic Science,CLINICAL SCIENCES,Geriatrics and Gerontology,frailty,ageing,biomarkers,mouse models,mechanisms,110308.0,11.0,MEDICAL AND HEALTH SCIENCES
343,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,decision making,decision support,chronic obstructive pulmonary disease (COPD),adherence,evidence-based clinical practice,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
344,1,2016,Basic Science,IMMUNOLOGY,Innate Immunity,pattern recognition,interferon (IFN),macrophage activation,virus eradication,virus detection,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
345,1,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,prostate cancer,clinical epidemiology,treatment outcomes,survival analysis,older people,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
346,1,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Haematological Tumours,multiple myeloma,haematological malignancy,chemotherapy treatment effects,ubiquitination,DNA adducts,111206.0,11.0,MEDICAL AND HEALTH SCIENCES
347,1,2016,Basic Science,IMMUNOLOGY,Immunogenetics (incl. Genetic Immunology),B cells,lymphoma,somatic mutation,recombination,cytotoxic T lymphocytes (CTL),110706.0,11.0,MEDICAL AND HEALTH SCIENCES
348,1,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,randomised controlled trial (RCT),implementation,low back pain,smoking,obesity,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
349,1,2016,Basic Science,MEDICAL BIOCHEMISTRY AND METABOLOMICS,Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics),matrix metalloproteinases,infection,macrophages,systems biology,proteomics,110106.0,11.0,MEDICAL AND HEALTH SCIENCES
350,1,2016,Basic Science,NEUROSCIENCES,Central Nervous System,depression,novel therapeutic agents,circadian rhythms,retina,mental health,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
351,1,2016,Basic Science,CLINICAL SCIENCES,Nephrology and Urology,kidney disease,renal failure,cell biology,transgenic model,therapeutic manipulation,110312.0,11.0,MEDICAL AND HEALTH SCIENCES
352,1,2016,Basic Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",prefrontal cortex,learning,dementia,drug abuse,rat,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
353,3,2016,Basic Science,NEUROSCIENCES,Central Nervous System,relapse,addiction,alcohol abuse,animal model,translational research,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
354,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),cancer therapy,apoptosis,structure-function,structure-based drug design,Bcl-2,60112.0,6.0,BIOLOGICAL SCIENCES
355,3,2016,Basic Science,MEDICAL BIOCHEMISTRY AND METABOLOMICS,Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics),physical activity,skeletal muscle,peptides,drug development,endocrine factors,110106.0,11.0,MEDICAL AND HEALTH SCIENCES
356,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",apoptosis,leukaemia,autoimmunity,Bcl-2,p53,60103.0,6.0,BIOLOGICAL SCIENCES
357,3,2016,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,sleep apnoea,upper airway physiology,sleep disordered breathing,upper airway muscles,sleep,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
358,3,2016,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),channelopathy,sudden cardiac death,electrophysiology,risk prediction,genetic analysis,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
359,3,2016,Basic Science,GENETICS,Genetics not elsewhere classified,bioinformatics,genomics,medical genomics,evolution,cancer research,60499.0,6.0,BIOLOGICAL SCIENCES
360,3,2016,Public Health,NUTRITION AND DIETICS,Nutrition and Dietetics not elsewhere classified,nutrition,randomised controlled trial (RCT),epidemiology,cardiovascular health,food intake,111199.0,11.0,MEDICAL AND HEALTH SCIENCES
361,3,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,cancer cell biology,growth regulation,therapeutics,gene transcription,chromatin,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
362,3,2016,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Proteins and Peptides,medicinal chemistry,peptides,protease inhibitors,G protein-coupled receptors,drug design,30406.0,3.0,CHEMICAL SCIENCES
363,3,2016,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,endometrium,placenta,placental insufficiency,embryo implantation,endometrial cancer,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
364,3,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,ovarian cancer,genomics,drug resistance,biomarkers,genetics,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
365,3,2016,Basic Science,GENETICS,Genetics not elsewhere classified,breast cancer aetiology,breast cancer prevention,cancer susceptibility,ovarian cancer,cancer prognosis,60499.0,6.0,BIOLOGICAL SCIENCES
366,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Systems Biology,proteomics,interdisciplinary,biomarkers,metabolomics,metabolic disease,60114.0,6.0,BIOLOGICAL SCIENCES
367,3,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),schizophrenia,biomarkers,molecular markers,sex hormones,neuroinflammation,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
368,3,2016,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,drug discovery,drug discovery,apoptosis,cancer chemotherapeutic agents,degenerative disorders,30401.0,3.0,CHEMICAL SCIENCES
369,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Care for Disabled,neurodevelopmental disorders,population-based,data linkage,intellectual disability,evidence-based clinical practice,111703.0,11.0,MEDICAL AND HEALTH SCIENCES
370,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,disease transmission,demography,geographic variations,social epidemiology,health care delivery,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
371,3,2016,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,gene-environment interaction,brain disorders,cognitive disorders,psychiatric disorders,dementia,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
372,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cell Development, Proliferation and Death",immune development,haematopoiesis,microrna,RNA processing,post-transcriptional,60103.0,6.0,BIOLOGICAL SCIENCES
373,3,2016,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,accidental falls,balance disorders,exercise training,aged health,multiple sclerosis (MS),111702.0,11.0,MEDICAL AND HEALTH SCIENCES
374,3,2016,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),cytokine receptor,signalling,Alzheimer disease,crystallography,structural biology,60112.0,6.0,BIOLOGICAL SCIENCES
375,3,2016,Basic Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",addictive behaviours,neurocognitive assessment,psychological treatment,impulsivity,lifestyle factors,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
376,3,2016,Clinical Medicine and Science,CLINICAL SCIENCES,Physiotherapy,physiotherapy,contracture,rehabilitation,biomechanics,clinical trial,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
377,3,2016,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),hypertension,obesity,sympathetic nervous system,stress,kidney,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
378,3,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,malaria,malaria vaccine,invasion,drug development,pathogenesis,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
379,3,2016,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),ion channels,calcium channels,cardiac arrhythmia,cardiac hypertrophy,mitochondria,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
380,3,2016,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Proteins and Peptides,peptides,medicinal chemistry,peptide synthesis,drug development,cardiovascular disease,30406.0,3.0,CHEMICAL SCIENCES
381,3,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),targeted therapy,brain tumours,receptor tyrosine kinase (RTK),signalling pathways,ectopic pregnancy,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
382,3,2016,Clinical Medicine and Science,MEDICAL MICROBIOLOGY,Medical Parasitology,helminth infection,vaccine development,hookworm infection,inflammatory bowel disease (IBD),parasitic disease,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
383,3,2016,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,neurogenetics,neuromuscular diseases,therapy,diagnosis,preventive screening,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
384,3,2016,Basic Science,IMMUNOLOGY,Innate Immunity,interferon (IFN),inflammatory cytokines,signalling pathways,cytokine network,infectious diseases,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
385,3,2016,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,oocyte maturation,reproductive biology,reproductive medicine,inter-cellular signalling,translational research,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
386,3,2016,Basic Science,MEDICAL BIOTECHNOLOGY,Regenerative Medicine (incl. Stem Cells and Tissue Engineering),embryonic stem cells,haematopoietic stem cells,stem cell transplantation,development,stem cell therapy,100404.0,10.0,TECHNOLOGY
387,3,2016,Basic Science,MEDICINAL AND BIOMOLECULAR CHEMISTRY,Biologically Active Molecules,drug discovery,drug development,drug design,medicinal chemistry,protozoan parasitic disease,30401.0,3.0,CHEMICAL SCIENCES
388,3,2016,Public Health,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),screening,colorectal cancer prevention,genetic predisposition,population genetics,risk prediction,60412.0,6.0,BIOLOGICAL SCIENCES
389,3,2016,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,melanoma,genomics,predisposition,mutation,targeted therapy,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
390,3,2016,Basic Science,IMMUNOLOGY,Humoural Immunology and Immunochemistry,antibody,immunodeficiency,B cells,autoimmune disease,molecular immunology,110705.0,11.0,MEDICAL AND HEALTH SCIENCES
391,3,2016,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,chronic myeloid leukaemia (CML),gene mutations,mutation detection,outcome measures,DNA sequencing,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
392,3,2016,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,epilepsy,schizophrenia,brain function,connectivity,magnetic resonance imaging (MRI),110903.0,11.0,MEDICAL AND HEALTH SCIENCES
393,3,2016,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,human immunodeficiency virus (HIV),antiviral agents,drug discovery,viral transmission,sexually-transmitted infections (STI),110804.0,11.0,MEDICAL AND HEALTH SCIENCES
394,3,2016,Basic Science,IMMUNOLOGY,Cellular Immunology,T cell immunity,T cell development,cancer immunology,immunotherapy,lipids,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
395,3,2016,Health Services Research,STATISTICS,Applied Statistics,statistics,design,economic analysis,methodology,translational research,10401.0,1.0,MATHEMATICAL SCIENCES
